Any,Nom_Districte,Nom_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili),Preu
2019,Sant Martí,la Vila Olímpica del Poblenou,9348,3525,2.46,1359.7
2019,Sant Martí,el Poblenou,34170,13700,2.65,1006.2
2019,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13625,5420,2.49,1381.825
2019,Sant Martí,el Besòs i el Maresme,24660,8347,2.51,740.3499999999999
2019,Sant Martí,Provençals del Poblenou,21303,8312,2.95,982.325
2019,Sant Martí,Sant Martí de Provençals,26168,10671,2.56,837.4250000000001
2019,Sant Martí,la Verneda i la Pau,28883,11455,2.45,778.475
2020,Ciutat Vella,el Raval,48263,17384,2.78,834.675
2020,Ciutat Vella,el Barri Gòtic,21715,6617,3.28,1034.4
2020,Ciutat Vella,la Barceloneta,15112,6994,2.16,863.525
2020,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",23241,10208,2.28,952.4
2020,Eixample,el Fort Pienc,33369,12839,2.6,1004.175
2020,Eixample,la Sagrada Família,52245,21968,2.38,942.8
2020,Eixample,la Dreta de l'Eixample,44325,18516,2.39,1270.425
2020,Eixample,l'Antiga Esquerra de l'Eixample,43228,18183,2.38,1157.025
2020,Eixample,la Nova Esquerra de l'Eixample,58621,24719,2.37,1035.525
2020,Eixample,Sant Antoni,38906,16301,2.39,974.15
2020,Sants-Montjuïc,el Poble-sec,40157,15961,2.52,830.9000000000001
2020,Sants-Montjuïc,la Marina del Prat Vermell,1227,492,2.49,
2020,Sants-Montjuïc,la Marina de Port,31352,12035,2.61,772.2
2020,Sants-Montjuïc,la Font de la Guatlla,10377,4269,2.43,854.025
2020,Sants-Montjuïc,Hostafrancs,16203,6696,2.42,854.45
2020,Sants-Montjuïc,la Bordeta,19567,7883,2.48,868.325
2020,Sants-Montjuïc,Sants - Badal,24938,10067,2.48,847.3
2020,Sants-Montjuïc,Sants,43763,17219,2.54,874.775
2020,Les Corts,les Corts,46731,19152,2.44,1065.625
2020,Les Corts,la Maternitat i Sant Ramon,23968,9705,2.47,985.35
2020,Les Corts,Pedralbes,11936,4204,2.84,1739.75
2020,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4710,1613,2.92,1213.05
2020,Sarrià-Sant Gervasi,Sarrià,25242,8872,2.85,1375.6750000000002
2020,Sarrià-Sant Gervasi,les Tres Torres,16617,5602,2.97,1692.6
2020,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,26245,9488,2.77,1297.875
2020,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,47915,18823,2.55,1357.075
2020,Sarrià-Sant Gervasi,el Putxet i el Farró,30428,12415,2.45,1058.475
2020,Gràcia,Vallcarca i els Penitents,16147,6604,2.45,990.9
2020,Gràcia,el Coll,7617,3163,2.41,823.275
2020,Gràcia,la Salut,13478,5478,2.46,970.225
2020,Gràcia,la Vila de Gràcia,50926,22875,2.23,953.55
2020,Gràcia,el Camp d'en Grassot i Gràcia Nova,35483,15019,2.36,955.9
2020,Horta-Guinardó,el Baix Guinardó,26180,10889,2.4,895.875
2020,Horta-Guinardó,Can Baró,9331,3899,2.39,780.125
2020,Horta-Guinardó,el Guinardó,37584,15572,2.41,828.425
2020,Horta-Guinardó,la Font d'en Fargues,9544,3775,2.53,927.125
2020,Horta-Guinardó,el Carmel,32512,12947,2.51,687.025
2020,Horta-Guinardó,la Teixonera,11927,4886,2.44,716.1
2020,Horta-Guinardó,Sant Genís dels Agudells,7538,2993,2.52,737.325
2020,Horta-Guinardó,Montbau,5225,2140,2.44,778.875
2020,Horta-Guinardó,la Vall d'Hebron,5886,2372,2.48,872.425
2020,Horta-Guinardó,la Clota,709,284,2.5,
2020,Horta-Guinardó,Horta,28363,10720,2.65,779.7
2020,Nou Barris,Vilapicina i la Torre Llobeta,26083,10554,2.47,796.725
2020,Nou Barris,Porta,27813,10293,2.7,724.8
2020,Nou Barris,el Turó de la Peira,16269,6355,2.56,700.4499999999999
