Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2015,Nou Barris,Ciutat Meridiana,Dones,262,297
2015,Nou Barris,Vallbona,Dones,21,36
2015,Sant Andreu,la Trinitat Vella,Dones,200,287
2015,Sant Andreu,Baró de Viver,Dones,65,49
2015,Sant Andreu,el Bon Pastor,Dones,184,269
2015,Sant Andreu,Sant Andreu,Dones,702,913
2015,Sant Andreu,la Sagrera,Dones,419,628
2015,Sant Andreu,el Congrés i els Indians,Dones,222,295
2015,Sant Andreu,Navas,Dones,320,462
2015,Sant Martí,el Camp de l'Arpa del Clot,Dones,654,1013
2015,Sant Martí,el Clot,Dones,437,603
2015,Sant Martí,el Parc i la Llacuna del Poblenou,Dones,263,449
2015,Sant Martí,la Vila Olímpica del Poblenou,Dones,132,241
2015,Sant Martí,el Poblenou,Dones,515,804
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Dones,216,325
2015,Sant Martí,el Besòs i el Maresme,Dones,561,652
2015,Sant Martí,Provençals del Poblenou,Dones,269,467
2015,Sant Martí,Sant Martí de Provençals,Dones,363,463
2015,Sant Martí,la Verneda i la Pau,Dones,469,564
2016,Ciutat Vella,el Raval,Homes,1268,2819
2016,Ciutat Vella,el Barri Gòtic,Homes,428,1135
2016,Ciutat Vella,la Barceloneta,Homes,352,785
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Homes,498,1210
2016,Eixample,el Fort Pienc,Homes,482,962
2016,Eixample,la Sagrada Família,Homes,771,1472
2016,Eixample,la Dreta de l'Eixample,Homes,657,1367
2016,Eixample,l'Antiga Esquerra de l'Eixample,Homes,621,1412
2016,Eixample,la Nova Esquerra de l'Eixample,Homes,859,1667
2016,Eixample,Sant Antoni,Homes,576,1067
2016,Sants-Montjuïc,el Poble-sec,Homes,833,1439
2016,Sants-Montjuïc,la Marina del Prat Vermell,Homes,22,18
2016,Sants-Montjuïc,la Marina de Port,Homes,513,622
2016,Sants-Montjuïc,la Font de la Guatlla,Homes,193,302
2016,Sants-Montjuïc,Hostafrancs,Homes,329,518
2016,Sants-Montjuïc,la Bordeta,Homes,309,442
2016,Sants-Montjuïc,Sants - Badal,Homes,499,642
2016,Sants-Montjuïc,Sants,Homes,754,1121
2016,Les Corts,les Corts,Homes,666,977
2016,Les Corts,la Maternitat i Sant Ramon,Homes,372,588
2016,Les Corts,Pedralbes,Homes,180,369
2016,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Homes,67,75
2016,Sarrià-Sant Gervasi,Sarrià,Homes,345,542
2016,Sarrià-Sant Gervasi,les Tres Torres,Homes,191,264
2016,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Homes,309,526
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Homes,565,1041
2016,Sarrià-Sant Gervasi,el Putxet i el Farró,Homes,423,580
2016,Gràcia,Vallcarca i els Penitents,Homes,220,325
2016,Gràcia,el Coll,Homes,117,161
2016,Gràcia,la Salut,Homes,171,304
2016,Gràcia,la Vila de Gràcia,Homes,767,1405
2016,Gràcia,el Camp d'en Grassot i Gràcia Nova,Homes,427,702
2016,Horta-Guinardó,el Baix Guinardó,Homes,349,510
2016,Horta-Guinardó,Can Baró,Homes,118,174
2016,Horta-Guinardó,el Guinardó,Homes,449,774
2016,Horta-Guinardó,la Font d'en Fargues,Homes,109,99
2016,Horta-Guinardó,el Carmel,Homes,422,555
2016,Horta-Guinardó,la Teixonera,Homes,149,268
2016,Horta-Guinardó,Sant Genís dels Agudells,Homes,83,177
2016,Horta-Guinardó,Montbau,Homes,60,97
2016,Horta-Guinardó,la Vall d'Hebron,Homes,58,113
2016,Horta-Guinardó,la Clota,Homes,5,8
2016,Horta-Guinardó,Horta,Homes,283,463
2016,Nou Barris,Vilapicina i la Torre Llobeta,Homes,287,447
2016,Nou Barris,Porta,Homes,308,548
2016,Nou Barris,el Turó de la Peira,Homes,219,336
2016,Nou Barris,Can Peguera,Homes,27,31
2016,Nou Barris,la Guineueta,Homes,115,204
2016,Nou Barris,Canyelles,Homes,83,64
2016,Nou Barris,les Roquetes,Homes,221,383
2016,Nou Barris,Verdun,Homes,187,273
2016,Nou Barris,la Prosperitat,Homes,363,475
2016,Nou Barris,la Trinitat Nova,Homes,118,171
2016,Nou Barris,Torre Baró,Homes,42,55
2016,Nou Barris,Ciutat Meridiana,Homes,204,316
2016,Nou Barris,Vallbona,Homes,29,37
2016,Sant Andreu,la Trinitat Vella,Homes,227,300
2016,Sant Andreu,Baró de Viver,Homes,50,40
2016,Sant Andreu,el Bon Pastor,Homes,220,251
2016,Sant Andreu,Sant Andreu,Homes,661,854
2016,Sant Andreu,la Sagrera,Homes,358,533
2016,Sant Andreu,el Congrés i els Indians,Homes,181,251
2016,Sant Andreu,Navas,Homes,313,443
2016,Sant Martí,el Camp de l'Arpa del Clot,Homes,589,920
2016,Sant Martí,el Clot,Homes,373,570
2016,Sant Martí,el Parc i la Llacuna del Poblenou,Homes,226,450
2016,Sant Martí,la Vila Olímpica del Poblenou,Homes,116,196
2016,Sant Martí,el Poblenou,Homes,473,807
2016,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Homes,192,337
2016,Sant Martí,el Besòs i el Maresme,Homes,598,871
2016,Sant Martí,Provençals del Poblenou,Homes,313,398
2016,Sant Martí,Sant Martí de Provençals,Homes,360,502
2016,Sant Martí,la Verneda i la Pau,Homes,384,506
2016,Ciutat Vella,el Raval,Dones,905,2157
2016,Ciutat Vella,el Barri Gòtic,Dones,337,1063
2016,Ciutat Vella,la Barceloneta,Dones,294,763
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,428,1167
2016,Eixample,el Fort Pienc,Dones,500,1032
2016,Eixample,la Sagrada Família,Dones,866,1683
2016,Eixample,la Dreta de l'Eixample,Dones,764,1576
2016,Eixample,l'Antiga Esquerra de l'Eixample,Dones,679,1499
2016,Eixample,la Nova Esquerra de l'Eixample,Dones,950,1819
2016,Eixample,Sant Antoni,Dones,555,1079
2016,Sants-Montjuïc,el Poble-sec,Dones,772,1290
2016,Sants-Montjuïc,la Marina del Prat Vermell,Dones,26,17
2016,Sants-Montjuïc,la Marina de Port,Dones,510,679
2016,Sants-Montjuïc,la Font de la Guatlla,Dones,199,298
2016,Sants-Montjuïc,Hostafrancs,Dones,323,505
2016,Sants-Montjuïc,la Bordeta,Dones,329,445
2016,Sants-Montjuïc,Sants - Badal,Dones,544,724
2016,Sants-Montjuïc,Sants,Dones,770,1201
2016,Les Corts,les Corts,Dones,660,1070
