Any,Nom_Districte,Nom_Barri,Edat_quinquennal,Emmigrants,Immigrants
2015,Nou Barris,la Guineueta,5-9 anys,13,15
2015,Nou Barris,Canyelles,5-9 anys,8,7
2015,Nou Barris,les Roquetes,5-9 anys,34,38
2015,Nou Barris,Verdun,5-9 anys,20,26
2015,Nou Barris,la Prosperitat,5-9 anys,28,39
2015,Nou Barris,la Trinitat Nova,5-9 anys,11,16
2015,Nou Barris,Torre Baró,5-9 anys,5,13
2015,Nou Barris,Ciutat Meridiana,5-9 anys,34,26
2015,Nou Barris,Vallbona,5-9 anys,3,4
2015,Sant Andreu,la Trinitat Vella,5-9 anys,30,39
2015,Sant Andreu,Baró de Viver,5-9 anys,12,9
2015,Sant Andreu,el Bon Pastor,5-9 anys,22,23
2015,Sant Andreu,Sant Andreu,5-9 anys,48,73
2015,Sant Andreu,la Sagrera,5-9 anys,22,40
2015,Sant Andreu,el Congrés i els Indians,5-9 anys,14,14
2015,Sant Andreu,Navas,5-9 anys,22,34
2015,Sant Martí,el Camp de l'Arpa del Clot,5-9 anys,42,45
2015,Sant Martí,el Clot,5-9 anys,29,36
2015,Sant Martí,el Parc i la Llacuna del Poblenou,5-9 anys,26,24
2015,Sant Martí,la Vila Olímpica del Poblenou,5-9 anys,16,18
2015,Sant Martí,el Poblenou,5-9 anys,44,52
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,5-9 anys,36,28
2015,Sant Martí,el Besòs i el Maresme,5-9 anys,90,71
2015,Sant Martí,Provençals del Poblenou,5-9 anys,19,31
2015,Sant Martí,Sant Martí de Provençals,5-9 anys,28,26
2015,Sant Martí,la Verneda i la Pau,5-9 anys,40,60
2015,Ciutat Vella,el Raval,10-14 anys,61,94
2015,Ciutat Vella,el Barri Gòtic,10-14 anys,12,28
2015,Ciutat Vella,la Barceloneta,10-14 anys,10,18
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",10-14 anys,26,33
2015,Eixample,el Fort Pienc,10-14 anys,17,42
2015,Eixample,la Sagrada Família,10-14 anys,40,71
2015,Eixample,la Dreta de l'Eixample,10-14 anys,38,60
2015,Eixample,l'Antiga Esquerra de l'Eixample,10-14 anys,19,61
2015,Eixample,la Nova Esquerra de l'Eixample,10-14 anys,60,91
2015,Eixample,Sant Antoni,10-14 anys,38,47
2015,Sants-Montjuïc,el Poble-sec,10-14 anys,51,70
2015,Sants-Montjuïc,la Marina del Prat Vermell,10-14 anys,0,4
2015,Sants-Montjuïc,la Marina de Port,10-14 anys,48,70
2015,Sants-Montjuïc,la Font de la Guatlla,10-14 anys,6,21
2015,Sants-Montjuïc,Hostafrancs,10-14 anys,20,37
2015,Sants-Montjuïc,la Bordeta,10-14 anys,16,33
2015,Sants-Montjuïc,Sants - Badal,10-14 anys,25,49
2015,Sants-Montjuïc,Sants,10-14 anys,41,84
2015,Les Corts,les Corts,10-14 anys,36,63
2015,Les Corts,la Maternitat i Sant Ramon,10-14 anys,31,39
2015,Les Corts,Pedralbes,10-14 anys,23,50
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",10-14 anys,7,13
2015,Sarrià-Sant Gervasi,Sarrià,10-14 anys,28,87
2015,Sarrià-Sant Gervasi,les Tres Torres,10-14 anys,25,38
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,10-14 anys,24,45
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,10-14 anys,51,104
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,10-14 anys,23,49
2015,Gràcia,Vallcarca i els Penitents,10-14 anys,12,20
2015,Gràcia,el Coll,10-14 anys,4,15
2015,Gràcia,la Salut,10-14 anys,7,16
2015,Gràcia,la Vila de Gràcia,10-14 anys,31,52
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,10-14 anys,18,32
2015,Horta-Guinardó,el Baix Guinardó,10-14 anys,16,29
2015,Horta-Guinardó,Can Baró,10-14 anys,7,8
2015,Horta-Guinardó,el Guinardó,10-14 anys,21,59
2015,Horta-Guinardó,la Font d'en Fargues,10-14 anys,6,11
2015,Horta-Guinardó,el Carmel,10-14 anys,42,30
2015,Horta-Guinardó,la Teixonera,10-14 anys,5,16
2015,Horta-Guinardó,Sant Genís dels Agudells,10-14 anys,10,8
2015,Horta-Guinardó,Montbau,10-14 anys,3,4
2015,Horta-Guinardó,la Vall d'Hebron,10-14 anys,6,9
2015,Horta-Guinardó,la Clota,10-14 anys,1,0
2015,Horta-Guinardó,Horta,10-14 anys,19,44
2015,Nou Barris,Vilapicina i la Torre Llobeta,10-14 anys,17,41
2015,Nou Barris,Porta,10-14 anys,12,27
2015,Nou Barris,el Turó de la Peira,10-14 anys,11,28
2015,Nou Barris,Can Peguera,10-14 anys,0,4
2015,Nou Barris,la Guineueta,10-14 anys,10,18
2015,Nou Barris,Canyelles,10-14 anys,14,9
2015,Nou Barris,les Roquetes,10-14 anys,18,38
2015,Nou Barris,Verdun,10-14 anys,15,20
2015,Nou Barris,la Prosperitat,10-14 anys,29,45
2015,Nou Barris,la Trinitat Nova,10-14 anys,6,16
2015,Nou Barris,Torre Baró,10-14 anys,5,5
2015,Nou Barris,Ciutat Meridiana,10-14 anys,26,28
2015,Nou Barris,Vallbona,10-14 anys,3,4
2015,Sant Andreu,la Trinitat Vella,10-14 anys,13,30
2015,Sant Andreu,Baró de Viver,10-14 anys,1,2
2015,Sant Andreu,el Bon Pastor,10-14 anys,13,20
2015,Sant Andreu,Sant Andreu,10-14 anys,44,50
2015,Sant Andreu,la Sagrera,10-14 anys,20,34
2015,Sant Andreu,el Congrés i els Indians,10-14 anys,13,19
2015,Sant Andreu,Navas,10-14 anys,17,28
2015,Sant Martí,el Camp de l'Arpa del Clot,10-14 anys,34,43
2015,Sant Martí,el Clot,10-14 anys,17,37
2015,Sant Martí,el Parc i la Llacuna del Poblenou,10-14 anys,15,13
2015,Sant Martí,la Vila Olímpica del Poblenou,10-14 anys,14,11
2015,Sant Martí,el Poblenou,10-14 anys,23,50
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,10-14 anys,19,20
2015,Sant Martí,el Besòs i el Maresme,10-14 anys,60,68
2015,Sant Martí,Provençals del Poblenou,10-14 anys,12,39
2015,Sant Martí,Sant Martí de Provençals,10-14 anys,12,35
2015,Sant Martí,la Verneda i la Pau,10-14 anys,36,54
2015,Ciutat Vella,el Raval,15-19 anys,92,232
2015,Ciutat Vella,el Barri Gòtic,15-19 anys,25,77
2015,Ciutat Vella,la Barceloneta,15-19 anys,13,44
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",15-19 anys,38,93
2015,Eixample,el Fort Pienc,15-19 anys,33,66
2015,Eixample,la Sagrada Família,15-19 anys,31,93
2015,Eixample,la Dreta de l'Eixample,15-19 anys,35,96
2015,Eixample,l'Antiga Esquerra de l'Eixample,15-19 anys,35,109
2015,Eixample,la Nova Esquerra de l'Eixample,15-19 anys,46,105
2015,Eixample,Sant Antoni,15-19 anys,37,82
2015,Sants-Montjuïc,el Poble-sec,15-19 anys,56,125
2015,Sants-Montjuïc,la Marina del Prat Vermell,15-19 anys,2,2
2015,Sants-Montjuïc,la Marina de Port,15-19 anys,28,87
2015,Sants-Montjuïc,la Font de la Guatlla,15-19 anys,16,32
2015,Sants-Montjuïc,Hostafrancs,15-19 anys,13,45
2015,Sants-Montjuïc,la Bordeta,15-19 anys,23,28
2015,Sants-Montjuïc,Sants - Badal,15-19 anys,27,59
2015,Sants-Montjuïc,Sants,15-19 anys,45,107
2015,Les Corts,les Corts,15-19 anys,28,88
2015,Les Corts,la Maternitat i Sant Ramon,15-19 anys,18,60
2015,Les Corts,Pedralbes,15-19 anys,21,41
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",15-19 anys,3,11
2015,Sarrià-Sant Gervasi,Sarrià,15-19 anys,31,71
2015,Sarrià-Sant Gervasi,les Tres Torres,15-19 anys,12,46
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,15-19 anys,19,84
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,15-19 anys,35,118
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,15-19 anys,24,73
2015,Gràcia,Vallcarca i els Penitents,15-19 anys,10,18
2015,Gràcia,el Coll,15-19 anys,4,15
2015,Gràcia,la Salut,15-19 anys,16,47
2015,Gràcia,la Vila de Gràcia,15-19 anys,21,94
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,15-19 anys,15,39
2015,Horta-Guinardó,el Baix Guinardó,15-19 anys,18,40
2015,Horta-Guinardó,Can Baró,15-19 anys,10,10
2015,Horta-Guinardó,el Guinardó,15-19 anys,32,65
2015,Horta-Guinardó,la Font d'en Fargues,15-19 anys,7,9
2015,Horta-Guinardó,el Carmel,15-19 anys,40,56
2015,Horta-Guinardó,la Teixonera,15-19 anys,9,14
2015,Horta-Guinardó,Sant Genís dels Agudells,15-19 anys,13,12
2015,Horta-Guinardó,Montbau,15-19 anys,5,16
2015,Horta-Guinardó,la Vall d'Hebron,15-19 anys,3,8
2015,Horta-Guinardó,la Clota,15-19 anys,1,0
2015,Horta-Guinardó,Horta,15-19 anys,23,64
2015,Nou Barris,Vilapicina i la Torre Llobeta,15-19 anys,17,51
2015,Nou Barris,Porta,15-19 anys,25,46
2015,Nou Barris,el Turó de la Peira,15-19 anys,20,48
2015,Nou Barris,Can Peguera,15-19 anys,7,0
2015,Nou Barris,la Guineueta,15-19 anys,10,17
2015,Nou Barris,Canyelles,15-19 anys,4,7
2015,Nou Barris,les Roquetes,15-19 anys,31,48
2015,Nou Barris,Verdun,15-19 anys,11,31
2015,Nou Barris,la Prosperitat,15-19 anys,29,45
2015,Nou Barris,la Trinitat Nova,15-19 anys,10,28
2015,Nou Barris,Torre Baró,15-19 anys,9,16
2015,Nou Barris,Ciutat Meridiana,15-19 anys,26,31
2015,Nou Barris,Vallbona,15-19 anys,3,2
2015,Sant Andreu,la Trinitat Vella,15-19 anys,17,33
2015,Sant Andreu,Baró de Viver,15-19 anys,3,3
2015,Sant Andreu,el Bon Pastor,15-19 anys,14,38
2015,Sant Andreu,Sant Andreu,15-19 anys,39,62
2015,Sant Andreu,la Sagrera,15-19 anys,25,48
2015,Sant Andreu,el Congrés i els Indians,15-19 anys,11,20
2015,Sant Andreu,Navas,15-19 anys,19,50
2015,Sant Martí,el Camp de l'Arpa del Clot,15-19 anys,34,77
2015,Sant Martí,el Clot,15-19 anys,25,34
2015,Sant Martí,el Parc i la Llacuna del Poblenou,15-19 anys,12,46
2015,Sant Martí,la Vila Olímpica del Poblenou,15-19 anys,4,11
2015,Sant Martí,el Poblenou,15-19 anys,36,44
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,15-19 anys,17,23
2015,Sant Martí,el Besòs i el Maresme,15-19 anys,48,91
2015,Sant Martí,Provençals del Poblenou,15-19 anys,22,41
2015,Sant Martí,Sant Martí de Provençals,15-19 anys,27,46
2015,Sant Martí,la Verneda i la Pau,15-19 anys,40,46
2015,Ciutat Vella,el Raval,20-24 anys,176,752
2015,Ciutat Vella,el Barri Gòtic,20-24 anys,58,423
2015,Ciutat Vella,la Barceloneta,20-24 anys,38,234
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",20-24 anys,64,388
2015,Eixample,el Fort Pienc,20-24 anys,68,266
2015,Eixample,la Sagrada Família,20-24 anys,102,408
2015,Eixample,la Dreta de l'Eixample,20-24 anys,56,400
2015,Eixample,l'Antiga Esquerra de l'Eixample,20-24 anys,76,383
2015,Eixample,la Nova Esquerra de l'Eixample,20-24 anys,128,454
2015,Eixample,Sant Antoni,20-24 anys,74,272
2015,Sants-Montjuïc,el Poble-sec,20-24 anys,106,338
2015,Sants-Montjuïc,la Marina del Prat Vermell,20-24 anys,4,6
2015,Sants-Montjuïc,la Marina de Port,20-24 anys,72,126
2015,Sants-Montjuïc,la Font de la Guatlla,20-24 anys,32,93
2015,Sants-Montjuïc,Hostafrancs,20-24 anys,36,132
2015,Sants-Montjuïc,la Bordeta,20-24 anys,48,98
2015,Sants-Montjuïc,Sants - Badal,20-24 anys,75,194
2015,Sants-Montjuïc,Sants,20-24 anys,123,251
2015,Les Corts,les Corts,20-24 anys,65,189
2015,Les Corts,la Maternitat i Sant Ramon,20-24 anys,48,124
2015,Les Corts,Pedralbes,20-24 anys,12,57
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",20-24 anys,3,13
2015,Sarrià-Sant Gervasi,Sarrià,20-24 anys,36,80
2015,Sarrià-Sant Gervasi,les Tres Torres,20-24 anys,16,83
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,20-24 anys,45,130
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,20-24 anys,61,242
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,20-24 anys,42,137
2015,Gràcia,Vallcarca i els Penitents,20-24 anys,14,68
2015,Gràcia,el Coll,20-24 anys,11,43
2015,Gràcia,la Salut,20-24 anys,23,65
2015,Gràcia,la Vila de Gràcia,20-24 anys,86,437
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,20-24 anys,48,172
2015,Horta-Guinardó,el Baix Guinardó,20-24 anys,39,130
2015,Horta-Guinardó,Can Baró,20-24 anys,11,42
2015,Horta-Guinardó,el Guinardó,20-24 anys,66,170
2015,Horta-Guinardó,la Font d'en Fargues,20-24 anys,9,21
2015,Horta-Guinardó,el Carmel,20-24 anys,68,129
2015,Horta-Guinardó,la Teixonera,20-24 anys,29,57
2015,Horta-Guinardó,Sant Genís dels Agudells,20-24 anys,12,36
2015,Horta-Guinardó,Montbau,20-24 anys,5,22
2015,Horta-Guinardó,la Vall d'Hebron,20-24 anys,8,13
2015,Horta-Guinardó,la Clota,20-24 anys,0,5
2015,Horta-Guinardó,Horta,20-24 anys,34,89
2015,Nou Barris,Vilapicina i la Torre Llobeta,20-24 anys,50,109
2015,Nou Barris,Porta,20-24 anys,34,109
2015,Nou Barris,el Turó de la Peira,20-24 anys,48,76
2015,Nou Barris,Can Peguera,20-24 anys,5,2
2015,Nou Barris,la Guineueta,20-24 anys,18,34
2015,Nou Barris,Canyelles,20-24 anys,6,7
2015,Nou Barris,les Roquetes,20-24 anys,51,116
2015,Nou Barris,Verdun,20-24 anys,29,81
2015,Nou Barris,la Prosperitat,20-24 anys,60,118
2015,Nou Barris,la Trinitat Nova,20-24 anys,26,41
2015,Nou Barris,Torre Baró,20-24 anys,3,14
2015,Nou Barris,Ciutat Meridiana,20-24 anys,49,82
2015,Nou Barris,Vallbona,20-24 anys,4,6
2015,Sant Andreu,la Trinitat Vella,20-24 anys,39,88
2015,Sant Andreu,Baró de Viver,20-24 anys,6,9
2015,Sant Andreu,el Bon Pastor,20-24 anys,22,55
2015,Sant Andreu,Sant Andreu,20-24 anys,80,148
2015,Sant Andreu,la Sagrera,20-24 anys,45,121
2015,Sant Andreu,el Congrés i els Indians,20-24 anys,30,66
2015,Sant Andreu,Navas,20-24 anys,33,97
2015,Sant Martí,el Camp de l'Arpa del Clot,20-24 anys,78,199
2015,Sant Martí,el Clot,20-24 anys,41,118
2015,Sant Martí,el Parc i la Llacuna del Poblenou,20-24 anys,35,161
2015,Sant Martí,la Vila Olímpica del Poblenou,20-24 anys,11,35
2015,Sant Martí,el Poblenou,20-24 anys,46,103
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,20-24 anys,17,51
2015,Sant Martí,el Besòs i el Maresme,20-24 anys,101,152
2015,Sant Martí,Provençals del Poblenou,20-24 anys,27,85
2015,Sant Martí,Sant Martí de Provençals,20-24 anys,49,99
2015,Sant Martí,la Verneda i la Pau,20-24 anys,58,107
2015,Ciutat Vella,el Raval,25-29 anys,342,1242
2015,Ciutat Vella,el Barri Gòtic,25-29 anys,90,580
2015,Ciutat Vella,la Barceloneta,25-29 anys,100,414
2015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",25-29 anys,140,684
2015,Eixample,el Fort Pienc,25-29 anys,139,445
2015,Eixample,la Sagrada Família,25-29 anys,220,803
2015,Eixample,la Dreta de l'Eixample,25-29 anys,162,705
2015,Eixample,l'Antiga Esquerra de l'Eixample,25-29 anys,188,742
2015,Eixample,la Nova Esquerra de l'Eixample,25-29 anys,238,841
2015,Eixample,Sant Antoni,25-29 anys,183,520
2015,Sants-Montjuïc,el Poble-sec,25-29 anys,214,628
2015,Sants-Montjuïc,la Marina del Prat Vermell,25-29 anys,3,3
2015,Sants-Montjuïc,la Marina de Port,25-29 anys,116,212
2015,Sants-Montjuïc,la Font de la Guatlla,25-29 anys,59,184
2015,Sants-Montjuïc,Hostafrancs,25-29 anys,79,239
2015,Sants-Montjuïc,la Bordeta,25-29 anys,105,167
2015,Sants-Montjuïc,Sants - Badal,25-29 anys,158,291
2015,Sants-Montjuïc,Sants,25-29 anys,230,528
2015,Les Corts,les Corts,25-29 anys,206,398
2015,Les Corts,la Maternitat i Sant Ramon,25-29 anys,113,259
2015,Les Corts,Pedralbes,25-29 anys,42,81
2015,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",25-29 anys,14,25
2015,Sarrià-Sant Gervasi,Sarrià,25-29 anys,68,145
2015,Sarrià-Sant Gervasi,les Tres Torres,25-29 anys,36,58
2015,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25-29 anys,92,167
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,25-29 anys,133,313
2015,Sarrià-Sant Gervasi,el Putxet i el Farró,25-29 anys,86,281
2015,Gràcia,Vallcarca i els Penitents,25-29 anys,58,134
2015,Gràcia,el Coll,25-29 anys,24,74
2015,Gràcia,la Salut,25-29 anys,39,91
2015,Gràcia,la Vila de Gràcia,25-29 anys,227,872
2015,Gràcia,el Camp d'en Grassot i Gràcia Nova,25-29 anys,104,377
2015,Horta-Guinardó,el Baix Guinardó,25-29 anys,100,238
2015,Horta-Guinardó,Can Baró,25-29 anys,29,93
2015,Horta-Guinardó,el Guinardó,25-29 anys,127,302
2015,Horta-Guinardó,la Font d'en Fargues,25-29 anys,16,29
2015,Horta-Guinardó,el Carmel,25-29 anys,109,192
2015,Horta-Guinardó,la Teixonera,25-29 anys,43,71
2015,Horta-Guinardó,Sant Genís dels Agudells,25-29 anys,15,42
2015,Horta-Guinardó,Montbau,25-29 anys,16,38
2015,Horta-Guinardó,la Vall d'Hebron,25-29 anys,9,31
2015,Horta-Guinardó,la Clota,25-29 anys,3,4
2015,Horta-Guinardó,Horta,25-29 anys,60,143
2015,Nou Barris,Vilapicina i la Torre Llobeta,25-29 anys,88,147
2015,Nou Barris,Porta,25-29 anys,63,155
2015,Nou Barris,el Turó de la Peira,25-29 anys,53,120
2015,Nou Barris,Can Peguera,25-29 anys,6,3
2015,Nou Barris,la Guineueta,25-29 anys,45,64
2015,Nou Barris,Canyelles,25-29 anys,19,22
2015,Nou Barris,les Roquetes,25-29 anys,63,116
2015,Nou Barris,Verdun,25-29 anys,56,103
2015,Nou Barris,la Prosperitat,25-29 anys,92,175
2015,Nou Barris,la Trinitat Nova,25-29 anys,36,60
2015,Nou Barris,Torre Baró,25-29 anys,8,16
2015,Nou Barris,Ciutat Meridiana,25-29 anys,71,82
2015,Nou Barris,Vallbona,25-29 anys,7,11
2015,Sant Andreu,la Trinitat Vella,25-29 anys,59,100
2015,Sant Andreu,Baró de Viver,25-29 anys,7,10
2015,Sant Andreu,el Bon Pastor,25-29 anys,29,78
2015,Sant Andreu,Sant Andreu,25-29 anys,170,281
2015,Sant Andreu,la Sagrera,25-29 anys,103,192
2015,Sant Andreu,el Congrés i els Indians,25-29 anys,46,104
2015,Sant Andreu,Navas,25-29 anys,61,168
